constructorId,url,name,nationality
brabham,http://en.wikipedia.org/wiki/Brabham,Brabham,British
brm,http://en.wikipedia.org/wiki/BRM,BRM,British
connew,http://en.wikipedia.org/wiki/Connew,Connew,British
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
march,http://en.wikipedia.org/wiki/March_Engineering,March,British
matra,http://en.wikipedia.org/wiki/Matra,Matra,French
mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
politoys,http://en.wikipedia.org/wiki/Frank_Williams_Racing_Cars,Politoys,British
surtees,http://en.wikipedia.org/wiki/Surtees,Surtees,British
team_lotus,http://en.wikipedia.org/wiki/Team_Lotus,Team Lotus,British
tecno,http://en.wikipedia.org/wiki/Tecno,Tecno,Italian
tyrrell,http://en.wikipedia.org/wiki/Tyrrell_Racing,Tyrrell,British
